Age,Gender,Study_Hours,Sleep_Hours,Academic_Pressure,Social_Media_Hours,Physical_Activity,Exam_Anxiety,Mental_Fatigue,Stress_Level
20,Female,8,4.5,9,6.2,1,9,9,High
21,Male,6,6.8,7,4.0,3,7,7,Moderate
19,Female,3,8.2,3,2.5,5,3,2,Low
22,Male,9,4.0,10,7.0,0,10,10,High
20,Female,5,7.5,5,3.0,4,5,4,Moderate
18,Male,2,8.8,2,1.5,6,2,2,Low
23,Female,7,5.2,8,5.8,2,8,8,High
21,Male,4,7.0,4,3.5,4,4,3,Low
20,Female,6,6.0,6,4.5,3,6,6,Moderate
19,Male,10,3.8,10,7.5,1,10,9,High
22,Female,3,8.5,3,2.0,5,2,3,Low
21,Male,5,6.5,5,4.2,3,5,5,Moderate
20,Female,7,5.0,8,6.0,2,8,8,High
18,Male,2,9.0,2,1.0,6,2,1,Low
23,Female,8,4.8,9,6.5,1,9,9,High
19,Male,4,7.8,4,2.8,5,4,3,Low
20,Female,6,6.2,6,4.7,3,6,6,Moderate
22,Male,9,4.3,9,7.1,1,9,10,High
21,Female,3,8.0,3,2.1,5,3,2,Low
20,Male,5,6.7,5,3.9,4,5,5,Moderate
19,Female,7,5.5,8,5.5,2,8,7,High
18,Male,2,8.9,2,1.2,6,2,2,Low
23,Female,8,4.7,9,6.8,1,9,9,High
21,Male,4,7.2,4,3.1,4,4,4,Low
20,Female,6,6.1,6,4.3,3,6,5,Moderate
22,Male,10,3.5,10,7.8,0,10,10,High
19,Female,3,8.3,3,2.3,5,3,2,Low
20,Male,5,6.9,5,4.1,4,5,5,Moderate
21,Female,7,5.1,8,5.9,2,8,8,High
18,Male,2,9.1,2,1.3,6,2,1,Low
23,Female,9,4.4,10,7.2,1,10,9,High
20,Male,4,7.6,4,2.9,5,4,3,Low
21,Female,6,6.3,6,4.4,3,6,6,Moderate
19,Male,8,4.9,9,6.1,2,9,8,High
22,Female,3,8.6,3,2.0,5,3,2,Low
20,Male,5,6.6,5,4.0,4,5,5,Moderate
21,Female,7,5.3,8,5.7,2,8,8,High
18,Male,2,8.7,2,1.4,6,2,2,Low
23,Female,8,4.6,9,6.6,1,9,9,High
20,Male,4,7.4,4,3.0,5,4,3,Low
21,Female,6,6.4,6,4.6,3,6,6,Moderate
19,Male,9,4.1,9,7.0,1,9,10,High
22,Female,3,8.4,3,2.2,5,3,2,Low
20,Male,5,6.8,5,4.2,4,5,5,Moderate
21,Female,7,5.4,8,5.6,2,8,7,High
18,Male,2,8.8,2,1.1,6,2,1,Low
23,Female,8,4.5,9,6.7,1,9,9,High
20,Male,4,7.1,4,3.2,4,4,4,Low
21,Female,6,6.0,6,4.5,3,6,5,Moderate
19,Male,10,3.9,10,7.6,0,10,10,High
22,Female,3,8.7,3,2.4,5,3,2,Low
