emotion,weather,food
tired,rainy,Porridge
sad,cold,Soup
sad,rainy,Tom Yum Soup
excited,rainy,Pizza
sad,rainy,Tom Yum Soup
bored,hot,Soup
bored,hot,Noodles
bored,sunny,Rice
excited,cloudy,Fried Chicken
bored,sunny,Rice
angry,hot,Rice
relaxed,cloudy,Soup
relaxed,sunny,Salad
bored,cloudy,Noodles
relaxed,cloudy,Rice
stressed,sunny,Som Tam
excited,hot,Noodles
relaxed,cloudy,Rice
angry,rainy,Rice
bored,hot,Fried Chicken
happy,rainy,Hot Chocolate
sad,cold,Rice
excited,cloudy,Rice
angry,cloudy,Soup
excited,rainy,Pizza
happy,sunny,Ice Cream
tired,cold,Rice
relaxed,cloudy,Fried Chicken
happy,cold,Soup
bored,cloudy,Rice
happy,cloudy,Fried Chicken
sad,cold,Soup
relaxed,cold,Fried Chicken
relaxed,sunny,Salad
angry,hot,Noodles
tired,cloudy,Rice
bored,sunny,Noodles
sad,hot,Fried Chicken
bored,hot,Fried Chicken
relaxed,hot,Rice
tired,rainy,Porridge
bored,hot,Rice
excited,hot,Rice
tired,sunny,Fried Rice
sad,cloudy,Noodles
sad,rainy,Tom Yum Soup
tired,cold,Noodles
excited,hot,Soup
angry,cloudy,Fried Chicken
stressed,cloudy,Rice
sad,rainy,Tom Yum Soup
excited,cold,Rice
happy,rainy,Hot Chocolate
sad,rainy,Tom Yum Soup
stressed,sunny,Som Tam
relaxed,cloudy,Fried Chicken
bored,sunny,Soup
sad,cloudy,Soup
tired,cloudy,Soup
angry,hot,Fried Chicken
angry,cloudy,Soup
stressed,rainy,Green Curry
sad,cold,Soup
happy,hot,Fried Chicken
tired,hot,Noodles
relaxed,cloudy,Fried Chicken
tired,cold,Soup
happy,sunny,Ice Cream
bored,hot,Noodles
bored,cloudy,Noodles
stressed,cold,Soup
angry,cold,Rice
happy,rainy,Hot Chocolate
relaxed,rainy,Ramen
angry,rainy,Soup
stressed,cold,Rice
angry,rainy,Rice
angry,cloudy,Rice
sad,cloudy,Soup
bored,sunny,Soup
sad,rainy,Tom Yum Soup
sad,cold,Soup
excited,cold,Rice
relaxed,cold,Soup
happy,cloudy,Rice
sad,sunny,Pad Thai
happy,cold,Fried Chicken
relaxed,cloudy,Rice
angry,rainy,Fried Chicken
tired,rainy,Porridge
relaxed,sunny,Salad
happy,sunny,Ice Cream
sad,cloudy,Rice
stressed,cloudy,Noodles
stressed,sunny,Som Tam
happy,cold,Soup
tired,rainy,Porridge
tired,hot,Rice
happy,sunny,Ice Cream
relaxed,cloudy,Fried Chicken
tired,cold,Rice
tired,rainy,Porridge
angry,hot,Soup
tired,hot,Rice
relaxed,rainy,Ramen
excited,hot,Fried Chicken
happy,sunny,Ice Cream
bored,cold,Noodles
bored,sunny,Rice
excited,sunny,Burger
happy,sunny,Ice Cream
relaxed,hot,Noodles
