food_name_th,food_name_en,category,serving_unit,serving_size_g,calories,protein_g,carbs_g,fat_g,fiber_g
ข้าวสวย,Steamed Rice,ข้าวและแป้ง,ทัพพี,150,140,4.0,43.0,0.5,0.5
ข้าวเหนียว,Sticky Rice,ข้าวและแป้ง,ทัพพี,150,210,4.5,46.0,0.5,0.8
ข้าวผัดไข่,Egg Fried Rice,ข้าวและแป้ง,จาน,450,350,15.0,55.0,14.0,1.5
ข้าวมันไก่,Chicken Rice,ข้าวและแป้ง,จาน,300,480,28.0,58.0,12.0,1.0
ข้าวเนื้อแดง,Red beef Rice,ข้าวและแป้ง,จาน,280,510,25.0,60.0,16.0,1.2
ข้าวกะเพราไก่ไข่ดาว,Basil chicken Rice with Egg,ข้าวและแป้ง,จาน,300,550,28.0,52.0,22.0,2.0
ผัดไทย,Pad Thai,เส้น,จาน,250,400,20.0,55.0,12.0,2.5
ก๋วยเตี๋ยวเนื้อน้ำ,Beef Noodle Soup,เส้น,ชาม,400,380,22.0,50.0,8.0,2.0
บะหมี่เนื้อ,Beef Noodle,เส้น,ชาม,350,420,24.0,52.0,10.0,1.8
เส้นใหญ่ผัดซีอิ๊ว,Stir-Fried Wide Noodle,เส้น,จาน,300,460,18.0,65.0,12.0,2.0
ขนมจีนน้ำยา,Kanom Jeen with Fish Curry,เส้น,จาน,300,350,18.0,50.0,8.0,3.0
ต้มยำกุ้ง,Tom Yum Shrimp,ซุปและแกง,ชาม,350,180,20.0,8.0,8.0,2.0
ต้มข่าไก่,Tom Kha Chicken,ซุปและแกง,ชาม,350,280,22.0,10.0,18.0,1.5
แกงเขียวหวานไก่,Green Curry Chicken,ซุปและแกง,ชาม,300,320,25.0,12.0,20.0,2.5
แกงมัสมั่นไก่,Massaman Curry Chicken,ซุปและแกง,ชาม,300,380,24.0,20.0,22.0,3.0
แกงส้มผัก,Sour Curry with Vegetables,ซุปและแกง,ชาม,300,120,8.0,15.0,3.0,4.0
แกงจืดเต้าหู้,Clear Tofu Soup,ซุปและแกง,ชาม,350,80,7.0,5.0,2.0,1.0
ไก่ทอด,Fried Chicken,เนื้อสัตว์,ชิ้น,100,220,22.0,8.0,14.0,0.5
หมูทอด,Fried Pork,เนื้อสัตว์,ชิ้น,100,280,20.0,5.0,18.0,0.3
ปลาทอด,Fried Fish,เนื้อสัตว์,ชิ้น,120,220,24.0,6.0,10.0,0.5
ไข่ดาว,Fried Egg,ไข่และเต้าหู้,ฟอง,60,200,7.0,0.5,8.0,0.0
ไข่เจียว,Thai Omelette,ไข่และเต้าหู้,ชิ้น,80,250,9.0,2.0,12.0,0.5
ไข่ต้ม,Boiled Egg,ไข่และเต้าหู้,ฟอง,60,70,7.0,0.5,5.5,0.0
เต้าหู้ทอด,Fried Tofu,ไข่และเต้าหู้,ชิ้น,100,180,12.0,6.0,12.0,1.0
ผัดกะเพราหมู,Basil Stir-fry Pork,ผัดผัก,จาน,200,320,22.0,8.0,20.0,2.0
ผัดคะน้าเนื้อ,Stir-fried Kale with Beef,ผัดผัก,จาน,200,280,20.0,10.0,16.0,3.0
ผักบุ้งไฟแดง,Stir-fried Morning Glory,ผัดผัก,จาน,200,150,5.0,12.0,8.0,4.0
ส้มตำไทย,Papaya Salad,สลัดและยำ,จาน,200,120,4.0,20.0,2.0,5.0
ยำวุ้นเส้น,Glass Noodle Salad,สลัดและยำ,จาน,200,180,12.0,22.0,4.0,3.0
ลาบไก่,chicken Larb,สลัดและยำ,จาน,200,280,24.0,15.0,12.0,3.0
ข้าวเหนียวมะม่วง,Mango Sticky Rice,ขนมหวาน,จาน,200,380,5.0,82.0,6.0,3.0
ทองหยิบ,Golden Drop (Thai Dessert),ขนมหวาน,ชิ้น,30,90,1.5,20.0,1.5,0.2
กล้วยบวชชี,Banana in Coconut Milk,ขนมหวาน,ชาม,200,220,2.0,40.0,8.0,3.0
ขนมครก,Coconut Pancake,ขนมหวาน,ชิ้น,20,55,1.0,7.0,2.5,0.5
วุ้นมะพร้าว,Coconut Jelly,ขนมหวาน,ชิ้น,100,80,1.0,18.0,1.0,0.5
นมสด,Fresh Milk,เครื่องดื่ม,แก้ว,240,150,8.0,12.0,8.0,0.0
น้ำส้มคั้น,Fresh Orange Juice,เครื่องดื่ม,แก้ว,240,110,2.0,26.0,0.5,0.5
ชาไทย,Thai Tea,เครื่องดื่ม,แก้ว,300,180,3.0,35.0,5.0,0.0
กาแฟเย็น,Thai Iced Coffee,เครื่องดื่ม,แก้ว,300,160,3.0,30.0,4.0,0.0
น้ำเปล่า,Water,เครื่องดื่ม,แก้ว,240,0,0.0,0.0,0.0,0.0
กล้วยหอม,Banana,ผลไม้,ลูก,120,110,1.5,29.0,0.3,3.0
แอปเปิ้ล,Apple,ผลไม้,ลูก,150,80,0.5,21.0,0.3,3.5
ส้ม,Orange,ผลไม้,ลูก,130,62,1.2,15.0,0.2,3.0
มะม่วงสุก,Ripe Mango,ผลไม้,ลูก,200,130,1.5,32.0,0.5,3.5

