product_name,brand_name,price_usd,rating,reviews,primary_category,ingredients
Hydrating Face Cream,Fresh,38,4.6,5200,Moisturizer,hyaluronic acid glycerin squalane
Vitamin C Brightening Serum,Ole Henriksen,42,4.5,4300,Face Serum,vitamin c collagen antioxidants
Ultra Repair Cream,First Aid Beauty,36,4.7,8100,Moisturizer,colloidal oatmeal shea butter ceramide
Salicylic Acne Cleanser,Clinique,25,4.4,3500,Cleanser,salicylic acid aloe vera
Green Tea Balancing Toner,Innisfree,22,4.3,2700,Toner,green tea niacinamide
Niacinamide Booster Serum,The Ordinary,10,4.6,9200,Face Serum,niacinamide zinc
Hydra Boost Gel,Neutrogena,24,4.5,7600,Moisturizer,hyaluronic acid dimethicone
Retinol Anti Aging Serum,Drunk Elephant,68,4.4,4100,Treatment,retinol peptide vitamin e
Soothing Aloe Gel,Holika Holika,18,4.3,2100,Moisturizer,aloe vera centella
Pore Control Toner,Paula's Choice,29,4.6,5000,Toner,niacinamide green tea
Brightening Essence,Tatcha,65,4.7,3800,Treatment,vitamin c rice extract
Deep Clean Face Wash,Kiehl's,28,4.4,4600,Cleanser,charcoal clay
Acne Spot Treatment,Murad,30,4.5,3400,Treatment,benzoyl peroxide
Calming Cream,La Roche-Posay,35,4.8,7200,Moisturizer,centella panthenol
Hydrating Cleanser,CeraVe,16,4.7,12000,Cleanser,ceramide hyaluronic acid
Glow Boost Serum,Glow Recipe,39,4.5,2900,Face Serum,watermelon niacinamide
Oil Free Moisturizer,Clinique,30,4.4,4000,Moisturizer,dimethicone glycerin
Daily Sunscreen SPF50,Supergoop,36,4.6,6100,Sun Protection,zinc oxide antioxidants
Radiance Mask,Origins,27,4.3,1900,Face Mask,vitamin c fruit extract
Anti Aging Night Cream,Shiseido,72,4.6,2500,Moisturizer,retinol collagen
Hydra Serum,Laneige,34,4.5,3300,Face Serum,hyaluronic acid mineral water
Tea Tree Cleanser,The Body Shop,20,4.4,2100,Cleanser,tea tree oil
Pore Tight Serum,Glow Recipe,38,4.5,2700,Face Serum,aha bha niacinamide
Bright Skin Cream,Dr. Jart+,44,4.6,3500,Moisturizer,vitamin c ceramide
Calm Repair Mask,Innisfree,26,4.3,1700,Face Mask,centella green tea
Moisture Surge Cream,Clinique,40,4.7,9000,Moisturizer,aloe hyaluronic acid
Exfoliating Toner,Pixi,24,4.4,2800,Toner,glycolic acid aloe
Vitamin C Eye Cream,Ole Henriksen,39,4.5,2400,Eye Cream,vitamin c peptides
Sensitive Skin Lotion,Avène,32,4.6,3000,Moisturizer,thermal water ceramide
Acne Control Gel,Murad,35,4.4,2600,Treatment,salicylic acid niacinamide
Hydrating Sheet Mask,Dr. Jart+,9,4.3,1500,Face Mask,hyaluronic acid
Skin Recovery Cream,Paula's Choice,34,4.6,2200,Moisturizer,ceramide antioxidants
Vitamin Boost Toner,Fresh,28,4.4,2100,Toner,vitamin c fruit enzymes
Deep Hydration Serum,Tatcha,70,4.7,3100,Face Serum,hyaluronic acid algae
Oil Control Cleanser,Clinique,26,4.3,2000,Cleanser,salicylic acid witch hazel
Brightening Mask,Glow Recipe,42,4.5,2400,Face Mask,vitamin c papaya
Night Repair Serum,Estée Lauder,75,4.8,11000,Treatment,peptide hyaluronic acid
Barrier Repair Cream,Dr. Jart+,48,4.6,2600,Moisturizer,ceramide panthenol
Hydra Mist,Tatcha,48,4.5,1700,Toner,mineral water hyaluronic acid
Clear Skin Cleanser,Origins,24,4.3,1900,Cleanser,charcoal tea tree
Vitamin C Ampoule,Laneige,41,4.5,2100,Face Serum,vitamin c ferulic acid
Sensitive Relief Cream,La Roche-Posay,36,4.7,4300,Moisturizer,centella madecassoside
Daily Gentle Cleanser,Fresh,27,4.4,2500,Cleanser,soy proteins aloe
Glow Sleeping Mask,Laneige,32,4.6,5400,Face Mask,vitamin c niacinamide
Acne Clearing Solution,Paula's Choice,29,4.5,2700,Treatment,bha salicylic acid
Ultra Moist Lotion,CeraVe,18,4.7,8800,Moisturizer,ceramide hyaluronic acid
Brightening Gel Cream,Neutrogena,21,4.4,3100,Moisturizer,vitamin c glycerin
Pore Refining Toner,Kiehl's,30,4.5,2200,Toner,witch hazel
Hydra Repair Serum,Drunk Elephant,65,4.6,2800,Face Serum,peptide ceramide
Clear Complexion Mask,Origins,28,4.3,1600,Face Mask,clay charcoal
Vitamin Radiance Cream,Tatcha,72,4.7,3300,Moisturizer,vitamin c silk protein
